     ID	   Name	  THETA	    PHI	      X	      Y	      Z
      1	    Fp1	 -90.00	 -72.00	 -83.25	 -27.05	   0.00
      2	    Fp2	  90.00	  72.00	 -83.25	  27.05	   0.00
      3	     F7	 -90.00	 -36.00	 -51.45	 -70.82	   0.00
      4	     F3	 -60.00	 -51.00	 -58.91	 -47.71	  43.77
      5	     Fz	  45.00	  90.00	 -61.90	   0.00	  61.90
      6	     F4	  60.00	  51.00	 -58.91	  47.71	  43.77
      7	     F8	  90.00	  36.00	 -51.45	  70.82	   0.00
      8	     T7	 -90.00	   0.00	   0.00	 -87.54	   0.00
      9	     C3	 -45.00	   0.00	   0.00	 -61.90	  61.90
     10	     Cz	   0.00	   0.00	  -0.00	   0.00	  87.54
     11	     C4	  45.00	   0.00	  -0.00	  61.90	  61.90
     12	     T8	  90.00	   0.00	  -0.00	  87.54	   0.00
     13	     P7	 -90.00	  36.00	  51.45	 -70.82	   0.00
     14	     P3	 -60.00	  51.00	  58.91	 -47.71	  43.77
     15	     Pz	  45.00	 -90.00	  61.90	   0.00	  61.90
     16	     P4	  60.00	 -51.00	  58.91	  47.71	  43.77
     17	     P8	  90.00	 -36.00	  51.45	  70.82	   0.00
     18	     O1	 -90.00	  72.00	  83.25	 -27.05	   0.00
     19	     O2	  90.00	 -72.00	  83.25	  27.05	   0.00
     20	    TP9	-112.00	  18.75	  26.09	 -76.85	 -32.79
     21	   TP10	 112.00	 -18.75	  26.09	  76.85	 -32.79
     22	    Fpz	  90.00	  90.00	 -87.54	   0.00	   0.00
     23	    AFz	  67.00	  90.00	 -80.58	   0.00	  34.20
     24	    FCz	  23.00	  90.00	 -34.20	   0.00	  80.58
     25	    CPz	  22.00	 -90.00	  32.79	   0.00	  81.16
     26	    AF3	 -74.00	 -68.00	 -78.02	 -31.52	  24.13
     27	    AF4	  74.00	  68.00	 -78.02	  31.52	  24.13
     28	    AF7	 -90.00	 -54.00	 -70.82	 -51.45	   0.00
     29	    AF8	  90.00	  54.00	 -70.82	  51.45	   0.00
     30	     Oz	  90.00	 -90.00	  87.54	   0.00	   0.00
     31	    PO7	 -90.00	  54.00	  70.82	 -51.45	   0.00
     32	    PO8	  90.00	 -54.00	  70.82	  51.45	   0.00
     33	     F5	 -74.00	 -41.00	 -55.20	 -63.50	  24.13
     34	     F1	 -49.00	 -68.00	 -61.25	 -24.75	  57.43
     35	     F2	  49.00	  68.00	 -61.25	  24.75	  57.43
     36	     F6	  74.00	  41.00	 -55.20	  63.50	  24.13
     37	    FT7	 -90.00	 -18.00	 -27.05	 -83.25	   0.00
     38	    FC5	 -69.00	 -21.00	 -29.29	 -76.29	  31.37
     39	    FC3	 -49.00	 -29.00	 -32.03	 -57.78	  57.43
     40	    FC1	 -31.00	 -46.00	 -32.43	 -31.32	  75.03
     41	    FC2	  31.00	  46.00	 -32.43	  31.32	  75.03
     42	    FC4	  49.00	  29.00	 -32.03	  57.78	  57.43
     43	    FC6	  69.00	  21.00	 -29.29	  76.29	  31.37
     44	    FT8	  90.00	  18.00	 -27.05	  83.25	   0.00
     45	     C5	 -68.00	   0.00	   0.00	 -81.16	  32.79
     46	     C1	 -23.00	   0.00	   0.00	 -34.20	  80.58
     47	     C2	  23.00	   0.00	  -0.00	  34.20	  80.58
     48	     C6	  68.00	   0.00	  -0.00	  81.16	  32.79
     49	    TP7	 -90.00	  18.00	  27.05	 -83.25	   0.00
     50	    CP5	 -69.00	  21.00	  29.29	 -76.29	  31.37
     51	    CP3	 -49.00	  29.00	  32.03	 -57.78	  57.43
     52	    CP1	 -31.00	  46.00	  32.43	 -31.32	  75.03
     53	    CP2	  31.00	 -46.00	  32.43	  31.32	  75.03
     54	    CP4	  49.00	 -29.00	  32.03	  57.78	  57.43
     55	    CP6	  69.00	 -21.00	  29.29	  76.29	  31.37
     56	    TP8	  90.00	 -18.00	  27.05	  83.25	   0.00
     57	     P5	 -74.00	  41.00	  55.20	 -63.50	  24.13
     58	     P1	 -49.00	  68.00	  61.25	 -24.75	  57.43
     59	     P2	  49.00	 -68.00	  61.25	  24.75	  57.43
     60	     P6	  74.00	 -41.00	  55.20	  63.50	  24.13
     61	    PO3	 -74.00	  68.00	  78.02	 -31.52	  24.13
     62	    POz	  67.00	 -90.00	  80.58	   0.00	  34.20
     63	    PO4	  74.00	 -68.00	  78.02	  31.52	  24.13
     64	     Iz	 112.00	 -90.00	  81.16	   0.00	 -32.79
     65	     65	 -80.25	 -80.00	 -84.96	 -14.98	  14.82
     66	     66	  80.25	  80.00	 -84.96	  14.98	  14.82
     67	     67	 -74.50	 -53.50	 -67.81	 -50.17	  23.39
     68	     68	 -58.75	 -79.00	 -73.46	 -14.28	  45.41
     69	     69	  58.75	  79.00	 -73.46	  14.28	  45.41
     70	     70	  74.50	  53.50	 -67.81	  50.17	  23.39
     71	     71	-101.00	 -25.75	 -37.33	 -77.39	 -16.70
     72	     72	 -80.75	 -29.00	 -41.89	 -75.56	  14.07
     73	     73	 -63.00	 -35.50	 -45.29	 -63.50	  39.74
     74	     74	 -47.25	 -48.50	 -48.14	 -42.59	  59.42
     75	     75	 -37.00	 -73.50	 -50.51	 -14.96	  69.91
     76	     76	  37.00	  73.50	 -50.51	  14.96	  69.91
     77	     77	  47.25	  48.50	 -48.14	  42.59	  59.42
     78	     78	  63.00	  35.50	 -45.29	  63.50	  39.74
     79	     79	  80.75	  29.00	 -41.89	  75.56	  14.07
     80	     80	 101.00	  25.75	 -37.33	  77.39	 -16.70
     81	    FT9	-112.00	 -18.75	 -26.09	 -76.85	 -32.79
     82	   FT10	 112.00	  18.75	 -26.09	  76.85	 -32.79
     83	     83	-101.00	  -8.45	 -12.63	 -84.99	 -16.70
     84	     84	 -79.25	  -9.75	 -14.56	 -84.76	  16.33
     85	     85	 -57.75	 -12.50	 -16.02	 -72.28	  46.71
     86	     86	 -37.00	 -18.75	 -16.93	 -49.88	  69.91
     87	     87	 -19.25	 -34.00	 -16.14	 -23.93	  82.64
     88	     88	  19.25	  34.00	 -16.14	  23.93	  82.64
     89	     89	  37.00	  18.75	 -16.93	  49.88	  69.91
     90	     90	  57.75	  12.50	 -16.02	  72.28	  46.71
     91	     91	  79.25	   9.75	 -14.56	  84.76	  16.33
     92	     92	 101.00	   8.45	 -12.63	  84.99	 -16.70
     93	     93	 -79.25	   9.75	  14.56	 -84.76	  16.33
     94	     94	 -57.75	  12.50	  16.02	 -72.28	  46.71
     95	     95	 -37.00	  18.75	  16.93	 -49.88	  69.91
     96	     96	 -19.25	  34.00	  16.14	 -23.93	  82.64
     97	     97	  19.25	 -34.00	  16.14	  23.93	  82.64
     98	     98	  37.00	 -18.75	  16.93	  49.88	  69.91
     99	     99	  57.75	 -12.50	  16.02	  72.28	  46.71
    100	    100	  79.25	  -9.75	  14.56	  84.76	  16.33
    101	    101	-101.00	  25.75	  37.33	 -77.39	 -16.70
    102	    102	 -80.75	  29.00	  41.89	 -75.56	  14.07
    103	    103	 -63.00	  35.50	  45.29	 -63.50	  39.74
    104	    104	 -47.25	  48.50	  48.14	 -42.59	  59.42
    105	    105	 -37.00	  73.50	  50.51	 -14.96	  69.91
    106	    106	  37.00	 -73.50	  50.51	  14.96	  69.91
    107	    107	  47.25	 -48.50	  48.14	  42.59	  59.42
    108	    108	  63.00	 -35.50	  45.29	  63.50	  39.74
    109	    109	  80.75	 -29.00	  41.89	  75.56	  14.07
    110	    110	 101.00	 -25.75	  37.33	  77.39	 -16.70
    111	     P9	-112.00	  35.50	  47.13	 -66.07	 -32.79
    112	    P10	 112.00	 -35.50	  47.13	  66.07	 -32.79
    113	    113	-101.00	  44.40	  60.12	 -61.39	 -16.70
    114	    114	 -74.50	  53.50	  67.81	 -50.17	  23.39
    115	    115	 -58.75	  79.00	  73.46	 -14.28	  45.41
    116	    116	  58.75	 -79.00	  73.46	  14.28	  45.41
    117	    117	  74.50	 -53.50	  67.81	  50.17	  23.39
    118	    118	 101.00	 -44.40	  60.12	  61.39	 -16.70
    119	    PO9	-112.00	  53.30	  65.07	 -48.50	 -32.79
    120	   PO10	 112.00	 -53.30	  65.07	  48.50	 -32.79
    121	    121	-101.00	  62.20	  76.01	 -40.08	 -16.70
    122	    122	 -80.25	  80.00	  84.96	 -14.98	  14.82
    123	    123	  80.25	 -80.00	  84.96	  14.98	  14.82
    124	    124	 101.00	 -62.20	  76.01	  40.08	 -16.70
    125	    125	-101.00	  80.00	  84.62	 -14.92	 -16.70
    126	    126	 101.00	 -80.00	  84.62	  14.92	 -16.70
    127	     O9	-112.00	  72.00	  77.19	 -25.08	 -32.79
    128	    O10	 112.00	 -72.00	  77.19	  25.08	 -32.79
